Just looking at him makes me  M_go M_weak at the M_knees .
She  M_outshines  everyone else.
I had a sudden  M_flash  of inspiration.
I admired his  M_dazzling /sparkling wit.
He never said anything and seemed a bit  M_dim .
This is the work of a very  M_dull  mind.
He’s very  M_sharp /sharp-witted: he notices everything.
She has a  M_razor-sharp  mind.
I want to  M_cut  through the waffle and get straight to the point.
We carefully  M_dissected  the problem.
He has a  M_keen  intellect.
They made some  M_pointed  remarks.
He was an  M_incisive  critic.
You can rely on their  M_support .
You can always  M_lean on  me.
I need someone to  M_hold my M_hand  – I can’t do it on my own.
I need a  M_shoulder to M_cry on .
Let me  M_lend a M_hand .
They gave me  a M_helping M_hand /a leg-up.
She put her life  in   their hands.
The government stepped in to  M_prop /shore up the fishing industry.
They made some  M_constructive  comments/suggestions.
She’s a  M_pillar  of the community.
They put  M_pressure  on him to go.
I was  under  a lot of pressure.
I felt very  M_pressured .
She  M_pushed  me into agreeing.
He was  M_hauled  in by the police for questioning.
They  M_squeezed  a confession out of him.
The country was  M_dragged  into war.
They kept  M_pressing  me for an answer.
"I didn’t want to do it, but they  M_twisted  my arm."
She managed to  M_twist/wrap  me around her little finger.
The biography mainly dealt with his years at the  M_top .
Many people commented on his rapid  M_ascent  up the ladder.
Their new album  M_climbed /rose to second position in the charts.
They are  M_riding M_high  in the opinion polls.
They are  M_riding on the M_crest of a M_wave  at the moment.
She is at the  M_peak /pinnacle of her career.
Not many people reach those  M_dizzy M_heights .
The government  M_fell  from power.
We are studying the  M_fall  of the Roman Empire.
His political ambition led to his  M_downfall .
The Wall Street  M_crash  took place in 1929.
"After that, she hit  M_rock M_bottom ."
Another leading player has been  M_toppled  in the tournament.
His comments went down like a  M_lead M_balloon .
A year later his career  M_nosedived .
Another dot.com is about to  M_bite the M_dust .
We are  in  a situation where there are no real winners.
"In this work, the author is back on  M_familiar M_territory ."
It was time for her to leave the family  M_nest .
I’ve felt  at M_home  since the moment I started work here.
He carved out a  M_niche  for himself within the company.
This is right  up  my street/alley.
The park is a  haven  for tired shoppers.
This town has always been a cultural  M_desert .
That part of the city is nothing but a concrete  M_jungle .
He spent many years in the political  M_wilderness .
This is a potential  M_minefield  for beginners.
We have a very  M_rocky M_road  to travel.
I’ve been caught  between a M_rock and a M_hard M_place .
We were left  M_high and M_dry  when they withdrew our funding.
He’s in a  M_tight M_spot .
They greeted us  M_warmly  when we arrived.
They are very  M_warm-hearted /cold-hearted people.
"I didn’t like him at first, but I soon  M_warmed  to him."
She has a  M_sunny  disposition.
Their friendly greetings were met with a  M_frosty  silence.
We were given a rather  M_chilly  reception.
He stared at us  M_coldly .
She treated us with  M_cool  indifference.
The other two girls began to  M_freeze her out .
Observers have noted a  M_thaw  in Franco-American relations.
She has very  M_high /low standards.
The president took the moral  M_high M_ground .
"They are  M_upright , law-abiding people."
"They are fine,  M_upstanding  citizens."
She had  M_lofty  ideals.
He was  above  such small-minded prejudice.
I never thought he’d  M_stoop  to that.
It was a very  M_low /underhand trick.
He’s just a mean and  M_lowdown  cheat.
"After her  M_fall from M_grace , she lost everything."
She’s completely  M_straight : I’d trust her anywhere.
He kept to the  M_straight and M_narrow  after his release from prison.
Are they  on the M_level ? Can we trust them?
I need to  M_level  with you: I can’t pretend that things are OK.
"It was a bad business, involving some  M_crooked  dealers."
It’s not true: you’re  M_twisting  the facts.
The newspapers have  M_put  their own spin/slant on what has happened.
They were accused of  M_bias  in their reporting.
We were presented with a very  M_warped /distorted version of the truth.
You’ve  M_lost  me. What do you mean?
I was completely  at M_sea : it was all so new to me.
"I felt  M_adrift  and alone, with no real sense of direction."
I seem to have  M_lost  my bearings.
I don’t  M_know if  I’m coming or going.
I feel like  a M_fish out of M_water .
You’ve got it all  M_back to M_front .
I can’t stand that  M_superior  attitude of his!
They  M_look down on  everyone who isn’t as rich as they are.
She’s got very  M_uppity  since she was promoted.
"Despite his great wealth, he’s not at all  M_stuck-up ."
She treated other people with  M_lofty  disdain.
They  M_look down their M_noses  at people like us.
I don’t know why you’re being so  M_high and M_mighty  all of a sudden.
He rose from  M_lowly  origins.
His family snubbed her because she was  M_low-born .
We were taught to  M_look up to  people from a higher class.
The way you  M_crawl to  him makes me sick.
I’m not going to  M_abase myself  before anyone.
They regarded ordinary working people as their social  M_inferiors .
We have been  M_close  friends since we were five.
We were  M_inseparable  as children.
"The very first time that they met, they  M_bonded  immediately."
I was very  M_attached  to him.
The school encourages  M_links  between students and local businesses.
He was left some money by a  M_distant  relative.
 M_Cracks  appeared in the relationship.
There was a growing  M_rift  between president and vice-president.
The book describes the deep  M_divisions  within the government.
The party was  M_torn M_apart .
She had just  M_split /broken up with her boyfriend.
My parents  M_separated  when I was very young.
We are both committed to  M_mending  our marriage.
The visit is part of an attempt to  M_repair  the relationship between the two governments.
I’m glad to see that you two have  M_patched M_things up .
The meeting was designed mainly as a  M_fence-mending  exercise.
The first step is to  M_build M_bridges  with the other side.
She’s very good at  M_smoothing over  the differences between conflicting parties.
The agreement did no more than  M_paper over the M_cracks .
"Our children have grown up to be  M_stable , loving adults."
Friends describe Laura as a  M_well-balanced  young woman.
Being married makes me feel  M_grounded .
She was engaged to a  M_solid  young man called Frank.
"He’s a  M_steady  kind of person, nothing fazes him."
"Jayne’s very  M_level-headed , while I’m more up and down."
It’s hard to  M_keep your M_feet on the M_ground  when you suddenly become famous.
"When he left her, she  M_collapsed in a M_heap ."
I had a bit of a  M_wobble  but I’m all right now.
Nothing ever seems to  M_throw her off M_balance .
I was just  M_knocked M_sideways  by what happened.
I haven’t yet  M_reached my M_goal .
They are making every effort to  M_reach an M_agreement .
We want to  M_achieve our M_ends  by peaceful means.
Many of the students are  M_aiming for  jobs in the media.
This company has always  M_aimed M_high .
At last their goal was  M_within M_reach 
She has  M_set her M_sights on  winning the championship.
They  M_went to M_great M_lengths  to make us feel at home.
"We expect to  M_meet our M_target  of 100,000 members by the end of next year."
"Unless you  M_reach for the M_stars , you’ll never know what you can achieve."
I wanted to  M_take a M_shot at  running my own business.
It’s a  M_long M_shot  but it might work.
We’re  M_shooting for  the number one spot in the computer games market.
Would anyone like to  have a M_stab at  doing this?
Success was finally  M_within their M_grasp .
"We  M_stretched ourselves  to buy the house, but it was worth it."
They’ve  M_overstretched  themselves financially.
"Like many ambitious people, he eventually  M_overreached  himself."
Many people  M_grasped at  the opportunity to leave.
"If you want my advice, you should just  M_go for it ."
She  M_hit out M_angrily at  the judge’s decision.
"He  M_lashed out at  me, accusing me of not caring."
They  M_tore  me to pieces/shreds.
They  M_rapped  me over the knuckles about it.
They were  M_gunning  for me.
Don’t  M_beat  yourself up over this.
Don’t  M_knock  what you don’t understand.
There’s no need to  M_jump down  my throat.
The memory of that day is still fresh  in  my mind.
A few doubts remained  at the M_back of  my mind.
Can’t you  M_get it into  your head that I’m not interested?
His head is  M_filled  with useless facts and figures.
"I’ve been  M_searching  my memory, but I still don’t know who she is."
